RID,ip_src,ip_dst,tcp_srcport,tcp.dstport,tcp_flags_push,tcp_flags_ack,tcp_ack,frame_time,packets,tx_packets,tx_bytes,rx_packets,rx_bytes,Label
172.217.10.138-10.42.0.42-443-34567-6,192.168.1.1,192.168.23.2,2412,8000,1,1,1, 16-Jun 2020 20:18:15.071112000 Mountain Daylight Time,8,4,216,4,216,DDoS-PSH-ACK
10.42.0.42-106.39.169.66-36652-80-6,192.168.1.1,192.168.23.2,2413,8000,1,1,1, 16-Jun 2020 20:18:15.071138000 Mountain Daylight Time,10,5,270,5,270,DDoS-PSH-ACK
172.217.10.138-10.42.0.151-443-60227-6,192.168.1.1,192.168.23.2,2414,8000,1,1,1, 16-Jun 2020 20:18:15.071146000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
10.42.0.211-10.42.0.1-42527-53-17,192.168.1.1,192.168.23.2,2415,8000,1,1,1, 16-Jun 2020 20:18:15.071152000 Mountain Daylight Time,10,5,270,5,270,DDoS-PSH-ACK
10.42.0.211-103.235.46.212-46124-443-6,192.168.1.1,192.168.23.2,2416,8000,1,1,1, 16-Jun 2020 20:18:15.071159000 Mountain Daylight Time,6,3,162,3,162,DDoS-PSH-ACK
173.222.140.253-10.42.0.151-443-55038-6,192.168.1.1,192.168.23.2,2417,8000,1,1,1, 16-Jun 2020 20:18:15.071165000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
205.185.216.10-10.42.0.211-80-40656-6,192.168.1.1,192.168.23.2,2418,8000,1,1,1, 16-Jun 2020 20:18:15.071174000 Mountain Daylight Time,8,4,216,4,216,DDoS-PSH-ACK
10.42.0.151-54.192.38.65-42794-443-6,192.168.1.1,192.168.23.2,2419,8000,1,1,1, 16-Jun 2020 20:18:15.071180000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
192.229.173.173-10.42.0.211-443-44788-6,192.168.1.1,192.168.23.2,2420,8000,1,1,1, 16-Jun 2020 20:18:15.071187000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
172.217.6.228-10.42.0.211-443-44763-6,192.168.1.1,192.168.23.2,2421,8000,1,1,1, 16-Jun 2020 20:18:15.071195000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
172.217.12.170-10.42.0.151-443-60952-6,192.168.1.1,192.168.23.2,2422,8000,1,1,1, 16-Jun 2020 20:18:15.071286000 Mountain Daylight Time,10,5,270,5,270,DDoS-PSH-ACK
10.42.0.211-64.71.142.124-51714-80-6,192.168.1.1,192.168.23.2,2423,8000,1,1,1, 16-Jun 2020 20:18:15.071299000 Mountain Daylight Time,12,6,324,6,324,DDoS-PSH-ACK
172.217.12.170-10.42.0.42-443-42436-6,192.168.1.1,192.168.23.2,2424,8000,1,1,1, 16-Jun 2020 20:18:15.071305000 Mountain Daylight Time,8,4,216,4,216,DDoS-PSH-ACK
